tick,timestamp,cell0_load,cell1_load,cell2_load,cell0_throughput,cell1_throughput,cell2_throughput,cell0_ue_count,cell1_ue_count,cell2_ue_count,cell0_avg_sinr,cell1_avg_sinr,cell2_avg_sinr,system_throughput,system_avg_sinr,system_avg_latency_ms,handover_count,handover_rate,packet_loss_rate,is_congested,congestion_level
0,0.0,0.25,0.54,0.32,433.204234203844,595.0392087408761,414.05714111804014,7,8,5,7.581929043235645,10.421000340857908,11.705444371734389,1442.3005840627602,9.748436394409236,23.04057797634494,0,0.0,0.0,0,0.54
1,1.0,0.25,0.54,0.32,435.3509191632882,596.7032001398261,415.4631126216326,7,8,5,7.619178231245447,10.455539324106535,11.750068482713115,1447.517231924747,9.7864452312568,23.05457895063146,0,0.0,0.0,0,0.54
2,2.0,0.25,0.54,0.32,436.4795865038364,598.3426170243486,416.8742961305488,7,8,5,7.657808169705878,10.489431120961049,11.794815094116895,1451.6964996587335,9.8247090813107,23.074101936593458,0,0.0,0.0,0,0.54
3,3.0,0.25,0.54,0.32,435.55928174400395,599.9579194271589,418.2905481661098,7,8,5,7.697861640116884,10.522685190771973,11.839680642615466,1453.8077493372725,9.863245811003566,23.100294970577654,0,0.0,0.0,0,0.54
4,4.0,0.25,0.54,0.32,434.63736578976557,601.549607226358,419.7117166090327,7,8,5,7.739373827443225,10.555311803643647,11.884661282732187,1455.8986896251565,9.902070881745633,23.130498307553886,0,0.0,0.0,0,0.54
5,5.0,0.25,0.54,0.32,433.7136687781791,603.1182162990872,421.13764022728003,7,8,5,7.782369311501319,10.58732196438497,11.929752873050946,1457.9695253045463,9.941196263042185,23.16465828120719,0,0.0,0.0,0,0.54
6,6.0,0.25,0.54,0.32,432.78802357493936,604.6643146056724,422.56814818912267,7,8,5,7.826858207692622,10.618727335047055,11.974950961979179,1460.0204863697345,9.980629047206035,23.20272423845687,0,0.0,0.0,0,0.54
7,7.0,0.25,0.54,0.32,431.86026652729015,606.1884982467511,424.0030595617959,7,8,5,7.872831241529528,10.649540156864198,12.020250773077725,1462.0518243358374,10.020369690550446,23.244648493704894,0,0.0,0.0,0,0.54
8,8.0,0.25,0.54,0.32,430.9302381860951,607.6913875335581,425.44218279625704,7,8,5,7.920253497480057,10.679773172370592,12.065647189972246,1464.06380851591,10.060409790559317,23.290386291247263,0,0.0,0.0,0,0.54
9,9.0,0.25,0.54,0.32,429.99778399508506,609.1736231085836,426.88531519871276,7,8,5,7.969056537629717,10.7094395484094,12.111134740865799,1466.0567223023813,10.10072929275061,23.33989577571911,0,0.0,0.0,0,0.54
